"","Nom.du.campement.coded","Tranche.d.age","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....1","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","median","max"
"34","Payo","Enfant","M235","F",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"35","Payo","Enfant","M236","M",0,"","","Loundoungou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"36","Bate","Adulte","M237","F",1,"3","3","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17442.5116671937,46629.5862509959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32036.0489590948,46629.5862509959
"37","Bate","Adulte","M238","M",1,"3","3","Bandza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17442.5116671937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,91850.921805027,0,0,0,0,0,0,0,0,0,0,0,0,54646.7167361103,91850.921805027
"38","Bete3","Adulte","M239","M",1,"2","1","Bangui",0,97188.0582353635,88283.1674446598,80670.4015428476,0,0,0,0,128560.206613797,0,0,0,0,0,0,0,0,0,0,0,17120.3646064758,46327.0918961585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162750.992247725,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88283.1674446598,162750.992247725
"39","Bete3","Adulte","M240","F",1,"2","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17120.3646064758,46327.0918961585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,91651.136580345,0,0,0,0,0,0,0,0,0,0,0,0,46327.0918961585,91651.136580345
"40","Bete3","Adulte","M241","F",1,"2","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,16336.240150809,0,0,0,0,0,0,0,0,0,0,16336.240150809,16336.240150809
"41","Bete1","Adulte","M242","M",1,"5","10","Bangui",0,97339.5157430599,88443.8490516258,80837.6514350458,0,0,0,0,128679.258352249,0,0,0,0,0,0,0,0,0,0,0,16970.6482150737,46182.5040756221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162643.817613059,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88443.8490516258,162643.817613059
"42","Bete1","Adulte","M243","F",1,"5","4","Mboule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16970.6482150737,46182.5040756221,0,0,0,0,0,0,0,0,0,0,51970.7309203976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,91611.3792922077,0,0,0,0,0,0,0,0,0,0,0,0,49076.6174980099,91611.3792922077
"43","Bete1","Personne âgée","M244","F",1,"3","10","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16970.6482150737,46182.5040756221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31576.5761453479,46182.5040756221
"44","Bete1","Adulte","M245","M",1,"4","5","Bangui",0,97339.5157430599,88443.8490516258,80837.6514350458,0,0,0,0,128679.258352249,0,0,0,0,42765.9120040806,0,0,0,0,0,0,16970.6482150737,46182.5040756221,0,0,55493.0083186083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68165.329876827,128679.258352249
"45","Payo","Adulte","M246","M",1,"5","2","Boua",0,97371.5452443948,88460.233845982,80838.0870613755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16936.2617916787,46141.221811587,0,0,0,0,0,0,0,0,0,0,52088.3942527075,0,0,0,0,0,0,0,0,0,0,0,0,162756.001455586,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80838.0870613755,162756.001455586
"46","Payo","Personne âgée","M247","F",1,"3","5","",0,97371.5452443948,88460.233845982,80838.0870613755,0,0,0,0,128746.532594066,0,0,0,0,0,0,0,0,0,0,0,16936.2617916787,46141.221811587,0,0,55479.945073118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80838.0870613755,128746.532594066
"47","Payo","Adulte","M248","F",1,"5","2","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16936.2617916787,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31538.7418016329,46141.221811587
"48","Bete3","Enfant","M249","M",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"49","Bete3","Enfant","M250","M",0,"","","Loundoungou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"50","Bonga1","Adulte","M251","",1,"5","0","Mboule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16986.2100617771,46200.1960374823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,91569.6988834075,0,0,0,0,0,0,0,0,0,0,0,0,46200.1960374823,91569.6988834075
"51","Bete1","Adolescent","M252","F",1,"1","Aucun","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46182.5040756221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46182.5040756221,46182.5040756221
"52","Bete1","Adulte","M253","F",1,"6","2","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16970.6482150737,46182.5040756221,0,0,0,0,0,0,0,0,0,0,51970.7309203976,0,0,0,0,0,0,0,0,0,0,0,0,162643.817613059,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49076.6174980099,162643.817613059
"53","Bete1","Adolescent","M254","M",1,"1","0","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16970.6482150737,46182.5040756221,0,0,0,0,0,0,0,0,0,0,51970.7309203976,0,0,0,0,0,0,0,0,0,0,0,0,162643.817613059,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49076.6174980099,162643.817613059
"54","Bete1","Adolescent","M255","F",1,"1","Aucun","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16970.6482150737,46182.5040756221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,91611.3792922077,0,0,0,0,0,0,0,0,0,0,0,0,46182.5040756221,91611.3792922077
"55","Payo","Adolescent","M257","F",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,46141.221811587
