"","residence_camp","ref","sex","birthplace","age","children_alive","median_dist","max_dist","region"
"192","Mabanga2","D271","F","Boucy-boucy","Adulte",NA,NA,-Inf,"Dongou"
"193","Mabanga2","D272","M","Boucy-boucy","Adulte",NA,12936.7464194269,72459.4818435515,"Dongou"
"194","Mabanga2","D273","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"195","Mabanga2","D274","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"196","Mabanga2","D275","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"197","Mabanga2","D276","F","Boucy-boucy","Personne âgée",NA,12936.7464194269,72459.4818435515,"Dongou"
"198","Bélé","D277","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"199","Bélé","D278","F",NA,"Enfant",NA,NA,-Inf,"Dongou"
"200","Bélé","D279","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"201","Cacao","D28","M","Moangouma","Enfant",NA,NA,-Inf,"Dongou"
"202","Bélé","D280","M","Boucy-boucy","Adolescent",NA,72109.9021879649,72109.9021879649,"Dongou"
"203","Bélé","D281","M",NA,"Enfant",NA,NA,-Inf,"Dongou"
"204","Bélé","D282","M",NA,"Adulte",NA,430031.593370774,787953.284553584,"Dongou"
"205","Bélé","D283","F","Manfoueté","Adulte",NA,72109.9021879649,72109.9021879649,"Dongou"
"206","Bélé","D284","F","Manfoueté","Enfant",NA,NA,-Inf,"Dongou"
"207","Bélé","D285","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"208","Bélé","D286","M","Boucy-boucy","Personne âgée",NA,400164.940869007,787953.284553584,"Dongou"
"209","Massendjo","D287","M","Losso","Adulte",NA,37020.7888483874,791105.678584702,"Dongou"
"210","Massendjo","D288","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"211","Massendjo","D289","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"212","Cacao","D29","M","Bondzale","Enfant",NA,NA,-Inf,"Dongou"
"213","Massendjo","D290","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"214","Massendjo","D291","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"215","Massendjo","D292","F","Dongou","Adulte",NA,74090.6193816399,222883.81929838,"Dongou"
"216","Massendjo","D293","F","Boucy-boucy","Adulte",NA,NA,-Inf,"Dongou"
"217","Massendjo","D294","F","Boucy-boucy","Enfant",NA,13084.0179398321,13084.0179398321,"Dongou"
"218","Massendjo","D295","F","Boucy-boucy","Adulte",NA,27778.642805764,27778.642805764,"Dongou"
"219","Massendjo","D296","M","Dongou","Enfant",NA,NA,-Inf,"Dongou"
"220","Massendjo","D297","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"221","Massendjo","D298","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"222","Massendjo","D299","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"223","Safou","D3","M","Impfondo","Enfant",NA,NA,-Inf,"Dongou"
"224","Cacao","D30","F","Bondzale","Enfant",NA,NA,-Inf,"Dongou"
"225","Massendjo","D300","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"226","Massendjo","D301","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"227","Massendjo","D302","F","Manfoueté","Adulte",NA,3544.52508164835,3869.17889630004,"Dongou"
"228","Kokosso","D303","F","Bélé","Enfant",NA,NA,-Inf,"Dongou"
"229","Kokosso","D304","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"230","Massendjo","D305","M","Boucy-boucy","Adulte",NA,74090.6193816399,791105.678584702,"Dongou"
"231","Massendjo","D306","F","Boucy-boucy","Personne âgée",NA,3869.17889630004,78261.2945902726,"Dongou"
"232","Kokosso","D307","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"233","Kokosso","D308","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"234","Kokosso","D309","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"235","Cacao","D31","F","Bondzale","Enfant",NA,NA,-Inf,"Dongou"
"236","Kokosso","D310","F","Boucy-boucy","Adolescent",NA,24120.0273086659,24120.0273086659,"Dongou"
"237","Kokosso","D311","F","Boucy-boucy","Adulte",NA,NA,-Inf,"Dongou"
"238","Kokosso","D312","M","Boleiké","Adolescent",NA,NA,-Inf,"Dongou"
"239","Kokosso","D313","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"240","Kokosso","D314","M","Dongou","Enfant",NA,NA,-Inf,"Dongou"
"241","Kokosso","D315","M","Moangouma","Adulte",NA,24120.0273086659,26469.1255608692,"Dongou"
"242","Kokosso","D316","F","Boucy-boucy","Adulte",NA,24120.0273086659,24120.0273086659,"Dongou"
"243","Kokosso","D317","F","Boucy-boucy","Personne âgée",NA,NA,-Inf,"Dongou"
"244","Kokosso","D318","M","Manfoueté","Personne âgée",NA,3927.07302181863,787200.052335663,"Dongou"
"245","Kokosso","D319","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"246","Cacao","D32","M","Bondzale","Enfant",NA,NA,-Inf,"Dongou"
"247","Kokosso","D320","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"248","Kokosso","D321","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"249","Kokosso","D322","F","Boucy-boucy","Adulte",NA,3624.75764686816,4036.52120984016,"Dongou"
"250","Kokosso","D323","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"251","Kokosso","D324","M","Manfoueté","Adulte",NA,152001.099714052,205808.692142968,"Dongou"
"252","Kokosso","D325","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"253","Kokosso","D326","F","Boucy-boucy","Adolescent",NA,24120.0273086659,24120.0273086659,"Dongou"
"254","Kokosso","D327","M","Boucy-boucy","Enfant",NA,24120.0273086659,24120.0273086659,"Dongou"
"255","Kokosso","D328","F","Boucy-boucy","Enfant",NA,98193.5072851363,98193.5072851363,"Dongou"
"256","Kokosso","D329","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"257","Cacao","D33","F","Manfoueté","Adulte",NA,9544.09275523451,15633.2957253897,"Dongou"
"258","Kokosso","D330","M","Boucy-boucy","Adulte",NA,428692.050504944,787200.052335663,"Dongou"
"259","Kokosso","D331","F","Bangui","Adulte",NA,13968.8260712315,24120.0273086659,"Dongou"
"260","Kokosso","D332","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"261","Kokosso","D333","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"262","Kokosso","D334","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"263","Kokosso","D335","M","Boucy-boucy","Enfant",NA,47152.037991445,70184.0486742242,"Dongou"
"264","Kokosso","D336","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"265","Kokosso","D337","F","Losso","Adulte",NA,3624.75764686816,4036.52120984016,"Dongou"
"266","Kokosso","D338","F","Boucy-boucy","Enfant",NA,24120.0273086659,24120.0273086659,"Dongou"
"267","Boleiké2","D339","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"268","Cacao","D34","F","Manfoueté","Adulte",NA,36226.8830663009,101149.377449603,"Dongou"
"269","Boleiké2","D340","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"270","Boleiké2","D341","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"271","Boleiké2","D342","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"272","Boleiké2","D343","F","Boucy-boucy","Adolescent",NA,NA,-Inf,"Dongou"
"273","Boleiké2","D344","F","Boucy-boucy","Adulte",NA,5468.42929526356,70891.0368428096,"Dongou"
"274","Boleiké2","D345","M","Malala","Adulte",NA,14438.726680289,70891.0368428096,"Dongou"
