"","residence_camp","ref","sex","birthplace","age","have_children","children_alive","children_dead","median_dist","max_dist","region"
"222","Essesse","MI195","M","Mbili","Adulte",0,"0",NA,36978.742662721,78059.4872547086,"Minganga"
"223","Essesse","MI196","F","Mbili","Adolescent",0,"0",NA,36978.742662721,78059.4872547086,"Minganga"
"224","Essesse","MI197","F","Mbili","Adulte",0,"0",NA,61288.2741304611,155536.936443534,"Minganga"
"225","Essesse","MI198","F","Mbili","Adulte",1,"5","1",49172.2788109308,155536.936443534,"Minganga"
"226","Essesse","MI199","M","Mbili","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"227","Essesse","MI200","F","Mbili","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"228","Essesse","MI201","M","Mbili","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"229","Essesse","MI227","","","",0,"0",NA,NA,-Inf,"Minganga"
"230","Mbaya","MI202","F","","Adolescent",0,"0",NA,95460.0041877715,158455.326985449,"Minganga"
"231","Mbaya","MI203","M","","Adolescent",0,"0",NA,95460.0041877715,158455.326985449,"Minganga"
"232","Mbila","MI167","F","Mbili","Personne âgée",0,"0",NA,36841.5597820256,137271.680369523,"Minganga"
"233","Mbila","MI168","M","Mossombo","Adulte",1,"7","0",36841.5597820256,155654.081949365,"Minganga"
"234","Mbila","MI169","F","Mbili","Adulte",1,"6","0",36767.8389214166,61539.5175405109,"Minganga"
"235","Mbila","MI170","M","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"236","Mbila","MI171","M","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"237","Mbila","MI172","M","Pokola","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"238","Mbila","MI173","F","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"239","Mbila","MI174","F","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"240","Mbila","MI175","M","Minganga","Adulte",1,"4","2",83409.8182550804,244497.821707524,"Minganga"
"241","Mbila","MI176","F","Mossombo","Adulte",1,"4","2",36694.1180608076,61539.5175405109,"Minganga"
"242","Mbila","MI177","M","Mossombo","Adulte",1,"3","0",32321.3253515909,61539.5175405109,"Minganga"
"243","Misseké_MI","MI145","M","Attention","Adulte",1,"2","0",22849.662017912,73423.0076580283,"Minganga"
"244","Misseké_MI","MI146","F","Attention","Adulte",1,"2","0",17117.8989489782,23633.8134814937,"Minganga"
"245","Misseké_MI","MI147","M","Attention","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"246","Misseké_MI","MI148","M","Attention","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"247","Misseké_MI","MI149","M","Ikelemba","Personne âgée",1,"3","5",23241.7377497029,146487.257806652,"Minganga"
"248","Misseké_MI","MI150","M","Attention","Adulte",1,"3","1",22849.662017912,73423.0076580283,"Minganga"
"249","Misseké_MI","MI151","F","Attention","Adulte",1,"3",NA,22849.662017912,73423.0076580283,"Minganga"
"250","Misseké_MI","MI152","F","Attention","Enfant",0,"0",NA,NA,-Inf,"Minganga"
