"","Nom.du.campement.coded","Old_person","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Oui.","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","Tranche.d.age","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","median","max"
"50","Essesse",0,"Adulte","MI197","F",0,NA,NA,"Mbili","Adulte",0,0,0,0,0,0,0,0,137465.350036939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155536.936443534,14858.3080405246,0,0,0,0,0,0,0,0,0,0,91804.8054893862,0,0,0,0,0,0,61288.2741304611,36901.2018340414,37056.2834914006,28173.8878017831,0,78059.4872547086,0,0,0,0,0,0,0,0,0,0,61288.2741304611,155536.936443534
"51","Essesse",0,"Adulte","MI198","F",1,5,1,"Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155536.936443534,14858.3080405246,0,0,0,0,0,0,0,0,0,92494.2625746825,91804.8054893862,0,0,0,0,0,0,61288.2741304611,36901.2018340414,37056.2834914006,28173.8878017831,0,0,0,0,0,0,0,0,0,0,0,0,49172.2788109308,155536.936443534
"52","Essesse",0,"Enfant","MI199","M",0,NA,NA,"Mbili","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"53","Essesse",0,"Enfant","MI200","F",0,NA,NA,"Mbili","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"54","Essesse",0,"Enfant","MI201","M",0,NA,NA,"Mbili","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"55","Essesse",0,"","MI227","",0,NA,NA,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"56","Mbaya",0,"Adolescent","MI202","F",0,NA,NA,"","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158455.326985449,0,93473.4496307852,0,0,0,0,0,0,0,0,95460.0041877715,96480.4217516245,0,0,0,0,0,0,0,0,0,0,8166.58045220154,0,0,0,0,0,0,0,0,0,0,0,95460.0041877715,158455.326985449
"57","Mbaya",0,"Adolescent","MI203","M",0,NA,NA,"","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158455.326985449,0,0,0,0,0,0,0,0,0,0,95460.0041877715,96480.4217516245,0,0,0,0,0,0,69643.1004311899,0,0,0,8166.58045220154,0,0,0,0,0,0,0,0,0,0,0,95460.0041877715,158455.326985449
"58","Mbila",1,"Personne âgée","MI167","F",0,NA,NA,"Mbili","Personne âgée",0,0,0,0,0,0,0,0,137271.680369523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61539.5175405109,36694.1180608076,36841.5597820256,27946.1628586738,0,0,0,0,0,0,0,0,0,0,0,0,36841.5597820256,137271.680369523
"59","Mbila",0,"Adulte","MI168","M",1,7,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155654.081949365,14603.8990702511,0,0,0,0,0,0,0,0,0,0,91908.4937194605,0,0,0,0,0,0,61539.5175405109,36694.1180608076,36841.5597820256,27946.1628586738,0,0,0,0,0,0,0,0,0,0,0,0,36841.5597820256,155654.081949365
