"","Nomducampement","Old_person","Adulte","Enfant","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","median","max"
"39","Bokombo6",0,0,1,"D133","M","Boucy-boucy",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19234.9026806827,6473.81066838884,10505.9049949835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10505.9049949835,19234.9026806827
"40","Bokombo6",0,0,1,"D134","M","Bokombo",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12758.0635163911,19234.9026806827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15996.4830985369,19234.9026806827
"41","Bokombo6",1,1,0,"D135","F","Manfoueté",3,"Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,6352.45743146931,0,0,0,0,0,0,0,0,0,0,0,0,0,19234.9026806827,6473.81066838884,10505.9049949835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8489.85783168616,19234.9026806827
"42","Bokombo6",0,0,1,"D136","F","Ikouangala",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19234.9026806827,6473.81066838884,10505.9049949835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10505.9049949835,19234.9026806827
"43","Bokombo6",0,0,1,"D137","F","Ikouangala",NA,"Enfant",0,11980.5974537887,0,0,0,0,0,0,0,0,0,0,0,6352.45743146931,0,0,0,0,0,0,0,0,0,0,0,0,12758.0635163911,0,6473.81066838884,10505.9049949835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27781.2673988163,0,0,0,11243.2512243861,27781.2673988163
"44","Bokombo6",1,1,0,"D138","M","Sambala",NA,"Personne âgée",0,11980.5974537887,17872.5705061892,21320.0650843141,0,0,0,0,0,0,8905.00801456038,8413.83337070554,7263.6200529529,6352.45743146931,5396.98248393366,0,0,0,0,0,0,0,0,0,0,0,0,19234.9026806827,0,0,213692.346099126,0,0,0,64881.5344654317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11980.5974537887,213692.346099126
"45","Bokombo6",0,0,1,"D139","M","Ikouangala",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,6352.45743146931,0,0,0,0,0,0,0,0,0,0,0,0,0,19234.9026806827,6473.81066838884,10505.9049949835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8489.85783168616,19234.9026806827
"46","Cacao",0,0,1,"D14","F","Bondzale",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"47","Bokombo6",0,0,1,"D140","M","Bokombo 6",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12758.0635163911,19234.9026806827,6473.81066838884,10505.9049949835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11631.9842556873,19234.9026806827
"48","Bokombo6",0,0,1,"D141","F","Sambala",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12758.0635163911,19234.9026806827,6473.81066838884,10505.9049949835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11631.9842556873,19234.9026806827
