"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_live","region"
"53","Papé","M49","F","Papé","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"561","Kakélo3","M140","M","Bangui","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"58","Kakélo6","M103","M","Bangui","Adulte",NA,-Inf,-Inf,9,0,"Macao"
"591","Boua1","M92","F","Bangui","Adulte",NA,-Inf,-Inf,11,0,"Macao"
"631","Kakélo6","M108","F","Bangui","Adulte",11840.2978704713,11840.2978704713,11840.2978704713,9,1,"Macao"
"641","Bakouengué","M31","M","Berandjokou","Adulte",5706.8278067743,5706.8278067743,5706.8278067743,11,1,"Macao"
"651","Kakélo5","M99","F","Bangui","Adulte",11567.8787351302,11567.8787351302,11567.8787351302,9,1,"Macao"
"711","Molapa_MA","M24","M","Bangui","Adulte",109043.327784915,109043.327784915,109043.327784915,1,1,"Macao"
"73","Kakélo2","M83","M","Bangui","Adulte",10679.8033303923,10679.8033303923,10679.8033303923,3,1,"Macao"
"75","Bateké1","M12","F","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"771","Kakélo6","M150","M","Macao","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"791","Mopendé","M41","F","Papé","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"80","Kakélo4","M115","M","","Adulte",11509.7489234474,11509.7489234474,11509.7489234474,4,1,"Macao"
"81","Kakélo2","M131","M","Bangui","Adulte",NA,-Inf,-Inf,9,0,"Macao"
"82","Molapa_MA","M25","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"841","Boua1","M137","F","Dongou","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"85","Kakélo1","M97","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"881","Atanga","M172","F","Macao","Adolescent",NA,-Inf,-Inf,8,1,"Macao"
"90","Boua2","M122","F","Bangui","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"911","Kakélo4","M161","M","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Macao"
