"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","median","max"
"42","Kakélo6",0,1,"Non","M154","F","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2341.8448165916,1797.2539444575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069.54938052455,2341.8448165916
"43","Movossovosso",1,1,"Non","M81","M","Dongou",NA,"Personne âgée",0,0,0,0,0,0,0,0,0,0,2306.38930255378,2139.85027524602,0,0,0,0,0,0,0,0,94832.2102969174,0,0,0,0,0,0,124896.55965898,0,0,0,0,0,0,3939.02498232609,0,0,0,0,0,49307.9810468431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26623.5030145846,124896.55965898
"44","Boua1",0,0,"Non","M93","M","Bangui",NA,"Adolescent",0,0,0,0,0,0,0,0,0,10223.7824240457,0,0,2306.38930255378,9172.8837897126,9085.00963425744,9540.52380693512,10038.0800338818,10120.0868718259,10411.3955637844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752.49987354925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9540.52380693512,10411.3955637844
"45","Moyimbi",0,0,"Oui","M9","M","Macao",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"46","Boua2",0,1,"Non","M127","F","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,2139.85027524602,9011.84018413536,8919.50767534176,9372.23789720004,9863.62628293346,9944.53369670127,10235.1190240658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48714.5232436876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9617.93209006675,48714.5232436876
"47","Kakélo4",0,1,"Non","M116","F","Bangui",4,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,7756.07326036817,2211.02980634604,1750.38603825094,1212.33052015549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11509.7489234474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211.02980634604,11509.7489234474
"48","Moyimbi",0,0,"Oui","M4","M","Macao",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"49","Kakélo1",0,1,"Non","M96","M","Bangui",NA,"Adulte",0,0,0,0,0,27101.0010963831,0,0,0,15058.1569997153,0,0,0,0,0,0,0,0,0,0,93888.6320769628,86565.58499299,0,0,0,0,0,0,0,0,0,0,42049.2020360083,0,10804.3359712803,0,0,0,0,0,52276.2931404123,0,0,56885.2387038386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47162.7475882103,93888.6320769628
"50","Kakélo4",0,0,"Oui","M164","M","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50714.8513661867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50714.8513661867,50714.8513661867
"51","Kakélo6",0,0,"Oui","M105","M","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,8148.95067736465,2796.94375733602,2341.8448165916,1797.2539444575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11840.2978704713,0,0,0,0,0,50376.2539772928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5472.94721735033,50376.2539772928
