"","residence_camp","ref","sex","birthplace","age","children_alive","median_dist","max_dist","region"
"154","Bateké2","M17","M","Macao","Enfant",NA,23844.5575076308,26986.3058374308,"Macao"
"155","Kakélo2","M133","M","Bangui","Enfant",NA,51756.9057453129,51756.9057453129,"Macao"
"156","Bakouengué","M28","M","Macao","Enfant",NA,13255.7272482437,24156.7445854683,"Macao"
"157","Kakélo5","M143","M","Bangui","Enfant",NA,NA,-Inf,"Macao"
"158","Bateké2","M14","M","Bangui","Adulte","0",26986.3058374308,71254.2716159108,"Macao"
"159","Kakélo6","M156","M","Bangui","Enfant",NA,NA,-Inf,"Macao"
"160","Kakélo6","M157","M","Bangui","Enfant",NA,NA,-Inf,"Macao"
"161","Kakélo6","M109","F","Bangui","Enfant",NA,5472.94721735033,50376.2539772928,"Macao"
"162","Kakélo5","M100","M","Bangui","Enfant",NA,11567.8787351302,50486.2716079486,"Macao"
"163","Molapa_MA","M21","F","Macao","Enfant",NA,25618.6685608506,25618.6685608506,"Macao"
"164","Atanga","M173","M","Macao","Enfant",NA,13311.2377146769,32571.7269187918,"Macao"
"165","Kakélo3","M148","F","Bangui","Adulte",NA,9372.23789720004,51588.0979370855,"Macao"
"166","Kakélo1","M95","F","Bangui","Personne âgée",NA,8840.92588538061,10804.3359712803,"Macao"
"167","Kakélo3","M98","M","Bangui","Adulte","2",51588.0979370855,94810.4071747767,"Macao"
"168","Boua1","M200","M","Bangui","Enfant",NA,NA,-Inf,"Macao"
"169","Bonga2","M202","M","Bangui","Adulte","3",71747.3088598775,128375.313917929,"Macao"
"170","Bonga2","M203","F","Bonga2","Adulte","3",1365.664498575,1365.664498575,"Macao"
"171","Bonga2","M204","F","Bonga2","Adulte","3",NA,-Inf,"Macao"
"172","Bonga2","M205","F","Bangui","Adulte","7",NA,-Inf,"Macao"
"173","Bonga2","M401","F","Bangui","Adulte","",NA,-Inf,"Macao"
"174","Bonga2","M206","F","Bonga2","Personne âgée","",NA,-Inf,"Macao"
"175","Bonga2","M207","M","Bonga2","Adulte","0",NA,-Inf,"Macao"
"176","Bate","M208","M","Bate","Adulte","3",87923.6820229656,128341.492227516,"Macao"
"177","Bonga2","M209","F","Thanry","Enfant","0",NA,-Inf,"Macao"
"178","Bonga1","M210","M","","Adulte","4",1485.68664851611,1485.68664851611,"Macao"
"179","Bonga1","M211","F","Bangui","Adulte","5",NA,-Inf,"Macao"
"180","Bonga1","M212","M","Bangui","Adulte","4",55493.5094776667,80833.5723072125,"Macao"
"181","Bonga1","M213","M","Bangui","Personne âgée","3",NA,-Inf,"Macao"
"182","Bonga1","M214","M","Bangui","Adulte","1",55493.5094776667,80833.5723072125,"Macao"
"183","Bonga1","M215","M","Bangui","Enfant","0",NA,-Inf,"Macao"
"184","Bonga1","M216","F","Bonga1","Enfant","0",NA,-Inf,"Macao"
"185","Bonga1","M217","M","Bangii","Enfant","0",NA,-Inf,"Macao"
"186","Bonga1","M218","M","Bangui","Enfant","0",NA,-Inf,"Macao"
"187","Bonga1","M219","F","Bangui","Enfant","0",NA,-Inf,"Macao"
"188","Payo","M220","M","Bangui","Adolescent","0",NA,-Inf,"Macao"
"189","Payo","M221","F","","Personne âgée","2",61312.3993913895,70536.4045300716,"Macao"
"190","Payo","M222","M","","Personne âgée","3",52088.3942527075,95292.5117399502,"Macao"
"191","Payo","M223","F","","Adulte","8",9266.79152100816,16936.2617916787,"Macao"
"192","Payo","M224","M","Bangui","Adulte","7",55479.945073118,93415.6069361875,"Macao"
