"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_gather","region"
"131","Moyimbi","M8","F","Macao","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"133","Kakélo1","M145","F","Bangui","Adulte",999.68994233426,999.68994233426,999.68994233426,5,1,"Macao"
"134","Kakélo6","M153","M","Bangui","Adulte",10411.3955637844,10411.3955637844,10411.3955637844,7,1,"Macao"
"135","Kakélo5","M102","F","Bangui","FALSE",NA,-Inf,-Inf,1,0,"Macao"
"136","Kakélo6","M104","F","Bangui","Adulte",2297.09885089676,8148.95067736465,591.479098966977,12,4,"Macao"
"137","Boua2","M136","F","Bangui","Adulte",9011.84018413536,9011.84018413536,9011.84018413536,3,1,"Macao"
"139","Movossovosso","M82","F","Bangui","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"140","Kakélo3","M141","F","Bangui","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"143","Atanga","M175","F","Macao","FALSE",NA,-Inf,-Inf,0,0,"Macao"
"144","Boua2","M71","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"149","Boua2","M70","M","Bangui","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"151","Molapa_MA","M18","M","Macao","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"158","Bateké2","M14","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"165","Kakélo3","M148","F","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"166","Kakélo1","M95","F","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"167","Kakélo3","M98","M","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"1","Bonga2","M202","M","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"2","Bonga2","M203","F","Bonga2","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"3","Bonga2","M204","F","Bonga2","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"410","Bonga2","M205","F","Bangui","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"510","Bonga2","M401","F","Bangui","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"6","Bonga2","M206","F","Bonga2","Personne âgée",NA,-Inf,-Inf,1,1,"Macao"
"710","Bonga2","M207","M","Bonga2","Adulte",NA,-Inf,-Inf,1,0,"Macao"
