"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_gather","region"
"383","Popo3","BE40","F","Bétou","Adulte",NA,-Inf,-Inf,1,0,"betou"
"463","Bobo1","BE48","M","Bétou","Adulte",NA,-Inf,-Inf,14,0,"betou"
"483","Bobo1","BE50","F","Bétou","Adolescent",NA,-Inf,-Inf,11,0,"betou"
"494","Bobo1","BE51","M","","Adulte",NA,-Inf,-Inf,12,0,"betou"
"503","Bobo1","BE52","F","Bobo1","Adulte",NA,-Inf,-Inf,18,0,"betou"
"554","Ngola3","BE57","F","Mimbelli","Adulte",NA,-Inf,-Inf,10,0,"betou"
"584","Mondika","BE60","M","","Adulte",NA,-Inf,-Inf,22,0,"betou"
"595","Ngola3","BE61","F","Enyelle","Adulte",37553.7139342612,37553.7139342612,37553.7139342612,17,1,"betou"
"613","Wongo5","BE63","M","Kenkenze","Adulte",NA,-Inf,-Inf,10,0,"betou"
"621","Wongo5","BE64","F","","Adolescent",NA,-Inf,-Inf,9,0,"betou"
"632","Wongo5","BE65","F","","Adolescent",NA,-Inf,-Inf,9,0,"betou"
"643","Wongo5","BE66","F","Bétou","Adulte",NA,-Inf,-Inf,9,0,"betou"
"716","Wongo3","BE73","M","","Adulte",NA,-Inf,-Inf,11,0,"betou"
"735","Wongo2","BE75","M","Bétou","Adulte",NA,-Inf,-Inf,13,0,"betou"
"743","Wongo3","BE76","F","","Adulte",NA,-Inf,-Inf,9,0,"betou"
"754","Wongo3","BE77","F","Kenkenze","Adulte",NA,-Inf,-Inf,8,0,"betou"
"773","Wongo2","BE79","F","Kenkenze","Adulte",NA,-Inf,-Inf,9,0,"betou"
"782","Wongo1","BE80","M","","Adulte",NA,-Inf,-Inf,4,0,"betou"
"803","Wongo1","BE82","M","Kenkenze","Adulte",NA,-Inf,-Inf,13,0,"betou"
"824","Wongo1","BE84","F","Mongoumba(Centrafrique)","Adulte",NA,-Inf,-Inf,8,0,"betou"
"843","Koueta","BE86","F","(Centrafrique)","Personne âgée",NA,-Inf,-Inf,3,0,"betou"
"884","Koueta","BE90","M","Wongo1","Adulte",NA,-Inf,-Inf,10,0,"betou"
"893","Popo2","BE91","F","Wongo2","Adulte",NA,-Inf,-Inf,4,0,"betou"
"915","Popo2","BE93","M","Wongo4","Adulte",NA,-Inf,-Inf,13,0,"betou"
"923","Popo1","BE94","M","","Adulte",3956.81879878951,3992.7576761351,3920.87992144392,15,2,"betou"
"942","Popo1","BE96","F","Bétou","Adulte",NA,-Inf,-Inf,14,0,"betou"
"1003","Bobo1","BE102","F","Bétou","Adulte",NA,-Inf,-Inf,18,0,"betou"
"1053","Bobo1","BE107","F","Enyelle","Adulte",NA,-Inf,-Inf,11,0,"betou"
"1063","Bobo1","BE108","M","","Adulte",NA,-Inf,-Inf,17,0,"betou"
"1073","Bobo1","BE109","M","Bétou","Adulte",NA,-Inf,-Inf,18,0,"betou"
"1114","Bobo1","BE113","M","Bobo1","Adulte",NA,-Inf,-Inf,12,0,"betou"
"1123","Ngola2","BE114","M","","Adolescent",NA,-Inf,-Inf,10,0,"betou"
"1133","Bobo1","BE115","F","Boyelé","Adulte",NA,-Inf,-Inf,11,0,"betou"
"1153","Ngola2","BE117","F","Bétou","Adulte",NA,-Inf,-Inf,9,0,"betou"
"1192","Mondika","BE121","M","Bétou","Adulte",NA,-Inf,-Inf,7,0,"betou"
"1223","Mondika","BE124","F","Bétou","Adolescent",NA,-Inf,-Inf,1,0,"betou"
"1233","Mondika","BE125","F","Bétou","Adulte",NA,-Inf,-Inf,8,0,"betou"
"1253","Mondika","BE127","M","Mondika","FALSE",NA,-Inf,-Inf,0,0,"betou"
"1263","Mondika","BE128","M","Bétou","Adolescent",7445.23624227663,7486.77405207569,7425.05111960083,9,3,"betou"
"1273","Mondika","BE129","F","Bétou","Adulte",7486.77405207569,7486.77405207569,7486.77405207569,14,1,"betou"
