"","my_ref","mother","father","spouse","sibling","sib1","sib2","sib3","sib4","sib5","sib6","sib7","sib8","sib9","sib10"
"605","E262","0","0","E261","","","","","","","","","","",""
"606","E263","E266","0","0","E264,E265,E267","E264","E265","E267","","","","","","",""
"607","E264","E266","0","0","E263,E265,E267","E263","E265","E267","","","","","","",""
"608","E265","E266","0","0","E263,E264,E267","E263","E264","E267","","","","","","",""
"609","E266","E272","0","0","","","","","","","","","","",""
"610","E267","E266","0","0","E263,E264,E265","E263","E264","E265","","","","","","",""
"611","E268","0","0","E269","","","","","","","","","","",""
"612","E269","0","0","E268","","","","","","","","","","",""
"613","E27","E29","0","0","E28","E28","","","","","","","","",""
"614","E270","0","0","E173","","","","","","","","","","",""
"615","E271","0","0","E276","","","","","","","","","","",""
"616","E272","E268","0","0","E276,E277","E276","E277","","","","","","","",""
"617","E273","E277","E279","0","E274,E275,E278","E274","E275","E278","","","","","","",""
"618","E274","E277","E279","0","E273,E275,E278","E273","E275","E278","","","","","","",""
"619","E275","E277","E279","0","E273,E274,E278","E273","E274","E278","","","","","","",""
"620","E276","E268","0","E271","E272,E277","E272","E277","","","","","","","",""
"621","E277","E268","0","E279","E272,E276","E272","E276","","","","","","","",""
