,X,residence_camp,ref,sex,birthplace,age,children_alive,median_dist,max_dist,region,Lieu.de.naissance.de.leur.mère.coded,Lieu.de.naissance.de.leur.père.coded,Lieu.où.leur.mère.habite.coded,Lieu.où.leur.père.habite.coded,spouse_bp,mom_inlaw_bp,dad_inlaw_bp,dad_inlaw_living,mom_inlaw_living,spouse_myref,dist_bp_mom_bp,dist_living_mom_bp,dist_bp_dad_bp,dist_living_dad_bp,dist_living_own_bp,dist_living_mum_living,dist_living_dad_living,dist_bp_spouse_bp,dist_living_spouse_bp,dist_living_mum_inlaw_living,dist_living_dad_inlaw_living,dist_bp_mom_inlaw_bp,dist_living_mom_inlaw_bp,dist_bp_dad_inlaw_bp,dist_living_dad_inlaw_bp,camp_region.x,loc.x,people_number_2022.x,set_type
272,545,Boua1,M69,M,Bangui,Adulte,,25772.83441,90648.67513,Macao,Bangui,Bangui,,,Dongou,,Bangui,,,M137,0,1752.499874,0,1752.499874,1752.499874,NA,NA,95966.91579,94999.90095,NA,NA,NA,NA,0,1752.499874,C,F,17,forest_camp
273,547,Kakelo6,M158,M,Bangui,Adulte,,11509.74892,90648.67513,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M159,0,11840.29787,0,11840.29787,11840.29787,NA,NA,0,11840.29787,NA,NA,0,11840.29787,0,11840.29787,C,F,30,forest_camp
274,548,Atanga,M170,F,Macao,Personne âgee,,25618.66856,115566.1052,Macao,,Mopoutou,,,,,,,,0,NA,NA,NA,NA,32571.72692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,R,15,village_camp
275,551,Kakelo2,M88,M,Bangui,Personne âgee,,10954.87574,90648.67513,Macao,Bangui,Bangui,,,,,,,,0,0,10679.80333,0,10679.80333,10679.80333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,11,forest_camp
276,552,Malomba,M56,F,Macao,Personne âgee,,36757.53121,47606.64384,Macao,Macao,Dongou,,,,,,,,M54,0,38589.24667,143421.7034,105218.0542,38589.24667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,R,8,village_camp
277,553,Kakelo4,M120,F,Bangui,Adolescent,,11307.58222,47606.64384,Macao,Bangui,Bangui,Kakelo4,,,,,,,0,0,11509.74892,0,11509.74892,11509.74892,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,30,forest_camp
278,554,Boua2,M121,M,Bangui,Adulte,,11840.29787,171141.0329,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M122,0,1874.172756,0,1874.172756,1874.172756,NA,NA,0,1874.172756,NA,NA,0,1874.172756,0,1874.172756,C,F,25,forest_camp
279,555,Kakelo1,M139,M,Bangui,Adulte,,11509.74892,171141.0329,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M145,0,10804.33597,0,10804.33597,10804.33597,NA,NA,0,10804.33597,NA,NA,0,10804.33597,0,10804.33597,C,F,NA,forest_camp
280,556,Moyimbi,M8,F,Macao,Adulte,2,31067.17263,35003.78557,Macao,Macao,Dongou,,,Macao,Pape,Macao,,,M7,0,35003.78557,143421.7034,108418.047,35003.78557,NA,NA,0,35003.78557,NA,NA,34925.81575,4420.601652,0,35003.78557,C,F,11,forest_camp
281,558,Kakelo1,M145,F,Bangui,Adulte,,10679.80333,95966.91579,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M139,0,10804.33597,0,10804.33597,10804.33597,NA,NA,0,10804.33597,NA,NA,0,10804.33597,0,10804.33597,C,F,NA,forest_camp
