,residence_camp,ref,sex,birthplace,age,children_alive,median_dist,max_dist,region,Lieu.de.naissance.de.leur.mère.coded,Lieu.de.naissance.de.leur.père.coded,Lieu.où.leur.mère.habite.coded,Lieu.où.leur.père.habite.coded,spouse_bp,mom_inlaw_bp,dad_inlaw_bp,dad_inlaw_living,mom_inlaw_living,spouse_myref
79,Cacao,D17,F,Moangouma,Adulte,NA,200167.8845,200167.8845,Dongou,NA,NA,NA,NA,Botanga,NA,NA,NA,NA,D24
80,Bokombo4,D170,M,Ikouangala,Enfant,NA,6498.467933,6498.467933,Dongou,Ikouangala,Manfouete,Bokombo4,Bokombo4,NA,NA,NA,NA,NA,0
81,Bokombo4,D171,M,Manfouete,Enfant,NA,42534.75089,45706.38753,Dongou,Ikouangala,Manfouete,Bokombo4,Bokombo4,NA,NA,NA,NA,NA,0
82,Bokombo4,D172,F,Ikouangala,Enfant,NA,10696.97205,14895.47617,Dongou,Ikouangala,Manfouete,Bokombo4,Bokombo4,NA,NA,NA,NA,NA,0
83,Bokombo4,D173,M,Ikouangala,Enfant,NA,14895.47617,87166.13738,Dongou,Ikouangala,Manfouete,Bokombo4,Bokombo4,NA,NA,NA,NA,NA,0
84,Bokombo3,D174,M,Sambala,Adulte,NA,16023.2589,110116.9933,Dongou,NA,NA,NA,NA,Ikouangala,NA,NA,NA,NA,D157
85,Bokombo3,D175,M,Impfondo,Enfant,NA,71217.68181,165125.4863,Dongou,Ikouangala,Sambala,Bokombo3,Bokombo3,NA,NA,NA,NA,NA,0
86,Bokombo3,D176,M,Ikouangala,Adolescent,NA,14097.48642,80744.6322,Dongou,Ikouangala,Sambala,Bokombo3,Bokombo3,NA,NA,NA,NA,NA,0
87,Bokombo4,D177,F,Ikouangala,Adulte,5,13182.65153,61643.63055,Dongou,NA,NA,NA,NA,Manfouete,NA,NA,NA,NA,D169
88,Bokombo2,D178,M,Manfouete,Adolescent,NA,41514.61821,52837.66369,Dongou,NA,NA,NA,NA,Ikouangala,NA,NA,NA,NA,D182
89,Bokombo1,D179,F,Manfouete,Personne agee,NA,43610.50287,92533.4575,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
90,Tangassi,D18,M,Moangouma,Enfant,NA,NA,#NAME?,Dongou,Boucyboucy,Boucyboucy,Tangassi,Tangassi,NA,NA,NA,NA,NA,0
91,Bokombo2,D180,F,Manfouete,Adulte,NA,38549.04251,55481.4052,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
92,Bokombo2,D181,F,Ikouangala,Enfant,NA,6498.467933,6498.467933,Dongou,Ikouangala,NA,Bokombo2,NA,NA,NA,NA,NA,NA,0
93,Bokombo2,D182,F,Ikouangala,Adolescent,NA,14895.47617,110840.2162,Dongou,NA,NA,NA,NA,Manfouete,NA,NA,NA,NA,D178
94,Bokombo1,D183,M,Dongou,Enfant,NA,18404.12868,46854.66932,Dongou,Dongou,Ikouangala,Bokombo1,Bokombo1,NA,NA,NA,NA,NA,0
95,Bokombo1,D184,F,Dongou,Enfant,NA,23282.7204,95627.68718,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
96,Bokombo1,D185,M,Dongou,Enfant,NA,23282.7204,46854.66932,Dongou,Dongou,Ikouangala,Bokombo1,Bokombo1,NA,NA,NA,NA,NA,0
97,Bokombo1,D186,M,Dongou,Enfant,NA,16649.80242,46854.66932,Dongou,Dongou,Ikouangala,Bokombo1,Bokombo1,NA,NA,NA,NA,NA,0
98,Bokombo1,D187,M,Ikouangala,Enfant,NA,14895.47617,61643.63055,Dongou,Dongou,Ikouangala,Bokombo1,Bokombo1,NA,NA,NA,NA,NA,0
99,Bokombo1,D188,F,Dongou,Adulte,4,95627.68718,165662.007,Dongou,NA,NA,NA,NA,Ikouangala,Manfouete,NA,NA,Bokombo1,D191
100,Bokombo1,D189,F,Boucyboucy,Personne agee,NA,5333.646775,28161.31211,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
101,Tangassi,D19,M,Boucyboucy,Enfant,NA,NA,#NAME?,Dongou,Boucyboucy,Boucyboucy,Tangassi,Tangassi,NA,NA,NA,NA,NA,0
102,Bokombo1,D190,F,Boucyboucy,Enfant,NA,5320.05482,11714.22673,Dongou,Boucyboucy,NA,Bokombo1,NA,NA,NA,NA,NA,NA,0
103,Bokombo1,D191,M,Ikouangala,Adulte,4,14895.47617,87166.13738,Dongou,Manfouete,NA,Bokombo1,NA,Dongou,NA,NA,NA,NA,D188
104,Bokombo1,D192,F,Boucyboucy,Enfant,NA,11714.22673,13299.49668,Dongou,Boucyboucy,Ikouangala,Bokombo1,Bokombo1,NA,NA,NA,NA,NA,0
