ref,sex,birthplace,region,median_dist,max_dist,min_dist,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_bantu_work,times_dance,times_fam_visit,times_fish,times_gather
D52,F,Modzaka,Dongou,NA,NA,NA,3,0,1,0,0,0,0,1,0,0
D53,F,Dongou,Dongou,NA,NA,NA,2,0,0,0,0,0,0,2,0,0
D56,M,Moangouma,Dongou,NA,NA,NA,3,0,0,0,0,0,0,3,0,0
D58,F,Moangouma,Dongou,NA,NA,NA,2,0,0,0,0,0,0,1,0,0
D61,F,Moangouma,Dongou,NA,NA,NA,2,0,0,0,0,0,0,2,0,0
D65,M,Dongou,Dongou,103302.797,103302.797,103302.797,10,1,0,3,0,1,0,1,0,0
D67,F,Moangouma,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D68,F,Dongou,Dongou,NA,NA,NA,6,0,2,0,0,0,0,2,0,0
D7,M,Moangouma,Dongou,NA,NA,NA,4,0,0,0,0,0,0,3,0,0
D72,F,NA,Dongou,NA,NA,NA,3,0,0,0,0,0,0,0,0,0
D73,M,Ikouangala,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D74,M,Dongou,Dongou,NA,NA,NA,2,0,0,0,0,0,0,2,0,0
D76,F,NA,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D77,M,Bangui,Dongou,NA,NA,NA,4,0,0,0,0,0,0,0,0,0
D78,F,Bangui,Dongou,NA,NA,NA,4,0,0,0,0,0,0,0,0,0
D8,F,Losso,Dongou,29698.456,29698.456,29698.456,1,1,0,0,0,0,0,0,0,0
D83,F,Dongou,Dongou,NA,NA,NA,3,0,0,0,0,0,0,1,0,0
D84,F,Manfouet,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D87,F,Ikouangala,Dongou,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
D88,M,Ikouangala,Dongou,NA,NA,NA,2,0,0,0,0,0,0,1,0,0
D9,F,Dongou,Dongou,71215.6949,107851.7,34579.6898,4,2,0,0,0,0,0,1,0,0
D90,F,Dongou,Dongou,42283.8925,65114.0344,19453.7506,3,2,0,0,0,0,0,0,0,0
D91,F,Ikouangala,Dongou,NA,NA,NA,3,0,0,0,0,0,0,3,0,0
D92,F,Manfouet,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D94,M,Sambala,Dongou,65114.0344,65114.0344,65114.0344,3,1,0,0,0,0,0,0,0,0
D99,M,Btou,Dongou,NA,NA,NA,2,0,1,0,0,0,1,0,0,0
M151,F,Bangui,Macao,NA,NA,NA,7,0,0,0,1,1,0,0,0,0
M167,M,Bangui,Macao,NA,NA,NA,11,0,0,1,2,4,0,0,0,0
M90,F,Bangui,Macao,966.229058,1752.49987,179.958242,10,2,0,0,0,0,0,1,0,5
M111,F,Bangui,Macao,11840.2979,11840.2979,11840.2979,9,1,0,0,1,0,0,1,0,3
M119,F,Bangui,Macao,11509.7489,11509.7489,11509.7489,8,1,0,0,0,0,0,0,1,0
M132,F,Bangui,Macao,NA,NA,NA,2,0,0,0,0,1,0,0,0,1
M142,M,Bangui,Macao,NA,NA,NA,7,0,0,1,1,1,0,1,0,0
M63,F,Bangui,Macao,NA,NA,NA,5,0,0,0,0,1,0,0,0,2
M11,M,Djoubou,Macao,NA,NA,NA,4,0,2,0,1,0,0,0,0,0
M162,F,Bangui,Macao,NA,NA,NA,3,0,0,0,1,1,0,0,0,0
M130,M,Bangui,Macao,NA,NA,NA,13,0,0,0,1,3,0,1,5,0
M126,M,Bangui,Macao,NA,NA,NA,5,0,0,0,1,2,0,0,1,1
M68,F,Bangui,Macao,NA,NA,NA,3,0,0,0,1,1,0,1,0,0
M36,F,Pap,Macao,NA,NA,NA,3,0,1,0,0,0,0,1,0,0
M94,M,Bangui,Macao,10804.336,10804.336,10804.336,2,2,0,0,0,0,0,0,0,0
M32,F,Bayanga,Macao,NA,NA,NA,3,0,0,0,1,0,0,0,0,0
M84,F,Bangui,Macao,NA,NA,NA,1,0,0,0,0,1,0,0,0,0
M15,F,Maca,Macao,NA,NA,NA,6,0,1,0,2,0,0,1,0,0
M2,M,Dongou,Macao,35003.7856,35003.7856,35003.7856,4,1,1,0,0,0,0,1,0,0
M74,M,Bangui,Macao,1874.17276,1874.17276,1874.17276,3,1,0,0,0,1,0,1,0,0
M5,F,Mobongo,Macao,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
M26,F,Macao,Macao,24156.7446,24156.7446,24156.7446,4,1,0,0,1,0,0,2,0,0
M154,F,Bangui,Macao,NA,NA,NA,3,0,0,0,0,1,0,1,0,0
M81,M,Dongou,Macao,3939.02498,3939.02498,3939.02498,3,1,0,0,0,0,0,1,0,0
M93,M,Bangui,Macao,1752.49987,1752.49987,1752.49987,10,1,0,0,0,0,0,0,0,2
M127,F,Bangui,Macao,NA,NA,NA,10,0,0,0,0,1,0,1,1,6
M116,F,Bangui,Macao,11509.7489,11509.7489,11509.7489,2,1,0,0,0,1,0,0,0,0
M96,M,Bangui,Macao,33844.7873,56885.2387,10804.336,11,2,0,0,0,0,0,0,0,1
M49,F,Pap,Macao,NA,NA,NA,2,0,0,0,0,0,0,2,0,0
M140,M,Bangui,Macao,NA,NA,NA,7,0,0,0,1,4,0,0,0,0
M103,M,Bangui,Macao,NA,NA,NA,9,0,2,4,0,0,0,1,0,0
M92,F,Bangui,Macao,NA,NA,NA,11,0,0,0,0,0,0,0,0,3
M108,F,Bangui,Macao,11840.2979,11840.2979,11840.2979,9,1,0,0,0,0,0,1,0,2
M31,M,Berandjokou,Macao,5706.82781,5706.82781,5706.82781,11,1,0,0,5,2,0,2,0,1
