"","Nom.du.campement.coded","Tranche.d.age","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....1","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","median","max","min","places_visited","total_bantu_work"
"53","Bete1","Adolescent","M254","M",1,"1","0","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515.12784335266,0,0,0,0,16970.6482150737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9242.88802921319,16970.6482150737,1515.12784335266,6,2
"54","Bete1","Adolescent","M255","F",1,"1","Aucun","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515.12784335266,0,0,0,0,16970.6482150737,46182.5040756221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16970.6482150737,46182.5040756221,1515.12784335266,4,4
"55","Payo","Adolescent","M257","F",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46141.221811587,46141.221811587,46141.221811587,2,2
"56","Bonga1","Personne âgée","M258","F",1,"3","2","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485.68664851611,0,0,0,0,16986.2100617771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9235.94835514658,16986.2100617771,1485.68664851611,3,2
"58","Bonga1","Adulte","M259","F",1,"1","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16986.2100617771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16986.2100617771,16986.2100617771,16986.2100617771,4,1
"59","Bonga1","Adulte","M260","F",1,"1","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16986.2100617771,46200.1960374823,0,0,0,0,246301.029748941,0,171151.827299214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108676.011668348,246301.029748941,16986.2100617771,7,5
"60","Bonga1","Adulte","M261","F",1,"4","4","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16986.2100617771,46200.1960374823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31593.2030496297,46200.1960374823,16986.2100617771,4,2
"61","Bete2","Adulte","M262","F",1,"5","2","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,2,0
"62","Bete2","Adulte","M263","F",1,"5","8","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394.7841456143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394.7841456143,1394.7841456143,1394.7841456143,2,1
"63","Bete2","Personne âgée","M264","F",1,"1","5","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,1,0
"64","Bete2","Adulte","M265","M",1,"4","4","Bangui",0,97133.0683554762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46378.5853212635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128848.963596744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97133.0683554762,128848.963596744,46378.5853212635,14,4
"65","Bete2","Adulte","M266","F",1,"4","4","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394.7841456143,0,0,0,0,17174.6250603686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9284.70460299144,17174.6250603686,1394.7841456143,3,2
"66","Bete2","Adulte","M267","M",1,"10","3","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,42542.6426042964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51962.4091224245,0,0,0,0,0,145394.653343856,0,0,0,0,0,0,162803.755937329,0,0,0,0,0,0,0,0,0,0,0,0,98678.5312331403,162803.755937329,42542.6426042964,6,5
"67","Bete3","Adulte","M268","F",1,"3","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46327.0918961585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46327.0918961585,46327.0918961585,46327.0918961585,3,1
"68","Bete2","Personne âgée","M269","F",1,"2","4","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,0,0
"70","Mboule","Adulte","M271","M",1,"4","Aucun","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18101.5448824699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18101.5448824699,18101.5448824699,18101.5448824699,3,1
"71","Mboule","Adulte","M272","M",1,"4","1","Mboule",0,96209.9488584473,0,0,0,0,0,0,127584.265225484,0,0,0,0,0,0,0,0,0,0,0,18101.5448824699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162783.362082754,0,0,0,0,128273.276799324,0,0,0,0,0,0,0,127584.265225484,162783.362082754,18101.5448824699,13,6
"72","Mboule","Adolescent","M273","F",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,3,0
"73","Mboule","Adolescent","M274","M",0,"","","Mboule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.982971889788,0,0,0,0,0,47313.7964735886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23967.3897227392,47313.7964735886,620.982971889788,4,3
"74","Mboule","Personne âgée","M275","M",1,"3","2","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.982971889788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.982971889788,620.982971889788,620.982971889788,2,2
"75","Mboule","Personne âgée","M277","F",1,"7","4","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47313.7964735886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47313.7964735886,47313.7964735886,47313.7964735886,11,1
"76","Mboule","Adulte","M279","F",1,"3","3","Mboule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.982971889788,0,0,0,0,18101.5448824699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9361.26392717986,18101.5448824699,620.982971889788,2,2
"77","Mboule","Adulte","M278","M",1,"3","1","Mboule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18101.5448824699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18101.5448824699,18101.5448824699,18101.5448824699,2,1
"78","Mboule","Adulte","M280","F",1,"1","2","Mboule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.982971889788,0,0,0,0,0,47313.7964735886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23967.3897227392,47313.7964735886,620.982971889788,4,3
"79","Mboule","Adulte","M281","F",1,"2","2","Mboule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18101.5448824699,47313.7964735886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32707.6706780292,47313.7964735886,18101.5448824699,6,2
"80","Mboule","Adulte","M282","M",1,"4","3","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,3,0
"81","Mboule","Adulte","M283","F",1,"2","2","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18101.5448824699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18101.5448824699,18101.5448824699,18101.5448824699,2,1
"82","Mboule","Adulte","M284","F",1,"3","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115279.51520256,0,0,0,18101.5448824699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66690.5300425148,115279.51520256,18101.5448824699,3,2
"83","Mboule","Adolescent","M285","M",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18101.5448824699,47313.7964735886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32707.6706780292,47313.7964735886,18101.5448824699,4,2
"84","Mboule","Adulte","M286","F",1,"2","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.982971889788,0,0,0,0,18101.5448824699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9361.26392717986,18101.5448824699,620.982971889788,2,2
"85","Mboule","Adolescent","M287","F",0,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47313.7964735886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47313.7964735886,47313.7964735886,47313.7964735886,3,1
